,file,time,Uniform,Timeout,sampler
0,/home/samplingfm/Benchmarks/FeatureModels/FM-3.6.1-refined.cnf,6.56,False,False,Uniform-DistanceBasedSampling.csv
0,/home/samplingfm/Benchmarks/V7/s420_new1_7_4.cnf,1916.549,True,False,Uniform-SPUR.csv
1,/home/samplingfm/Benchmarks/V7/s1196a_7_4.cnf,3600.022,,True,Uniform-SPUR.csv
2,/home/samplingfm/Benchmarks/V7/s35932_7_4.cnf,10.293,,False,Uniform-SPUR.csv
3,/home/samplingfm/Benchmarks/V7/s38584_7_4.cnf,3600.107,,True,Uniform-SPUR.csv
4,/home/samplingfm/Benchmarks/V7/s953a_7_4.cnf,3600.01,,True,Uniform-SPUR.csv
5,/home/samplingfm/Benchmarks/V7/s510_7_4.cnf,1533.219,True,False,Uniform-SPUR.csv
6,/home/samplingfm/Benchmarks/V7/s15850a_7_4.cnf,3600.105,,True,Uniform-SPUR.csv
7,/home/samplingfm/Benchmarks/V7/s838_7_4.cnf,3394.2309999999998,True,False,Uniform-SPUR.csv
8,/home/samplingfm/Benchmarks/V7/s713_7_4.cnf,3600.027,,True,Uniform-SPUR.csv
9,/home/samplingfm/Benchmarks/V7/s344_7_4.cnf,1587.65,True,False,Uniform-SPUR.csv
10,/home/samplingfm/Benchmarks/V7/s5378a_7_4.cnf,3600.098,,True,Uniform-SPUR.csv
11,/home/samplingfm/Benchmarks/V7/s9234a_7_4.cnf,3600.107,,True,Uniform-SPUR.csv
12,/home/samplingfm/Benchmarks/V7/s382_7_4.cnf,1557.151,True,False,Uniform-SPUR.csv
13,/home/samplingfm/Benchmarks/V7/s420_new_7_4.cnf,1808.67,True,False,Uniform-SPUR.csv
14,/home/samplingfm/Benchmarks/V7/s13207a_7_4.cnf,3600.1040000000003,,True,Uniform-SPUR.csv
15,/home/samplingfm/Benchmarks/V7/s444_7_4.cnf,1786.5910000000001,True,False,Uniform-SPUR.csv
16,/home/samplingfm/Benchmarks/V7/s27_new_7_4.cnf,6.502000000000001,False,False,Uniform-SPUR.csv
17,/home/samplingfm/Benchmarks/V7/s27_7_4.cnf,4.035,False,False,Uniform-SPUR.csv
0,/home/samplingfm/Benchmarks/FeatureModels/FM-3.6.1-refined.cnf,1.706,False,False,Uniform-QuickSampler.csv
0,/home/samplingfm/Benchmarks/FeatureModels/FM-3.6.1-refined.cnf,1306.412,False,False,Uniform-SMARCH.csv
0,/home/samplingfm/Benchmarks/FeatureModels/FM-3.6.1-refined.cnf,1193.0539999999999,True,False,Uniform-CustomSampler.csv
0,/home/samplingfm/Benchmarks/FeatureModels/FM-3.6.1-refined.cnf,1850.024,True,False,Uniform-KUS.csv
0,/home/samplingfm/Benchmarks/FeatureModels/FM-3.6.1-refined.cnf,0.807,,False,Uniform-STS.csv
